1	Saint Lucia	          83.44
2	Greenland	          74.93
3	Laos	          66.20
4	Bhutan	          63.00
5	Zimbabwe	          62.24
6	Korea, North	          61.00
7	Sao Tome and Principe	          58.90
8	Curacao	          57.30
9	Kyrgyzstan	          57.03
10	Nepal	          57.00
11	Belarus	          56.42
12	Faroe Islands	          54.42
13	Zambia	          51.78
14	Canada	          51.10
15	Aruba	          49.51
16	Mexico	          48.00
17	Honduras	          46.81
18	Hong Kong	          46.40
19	Austria	          45.07
20	Cape Verde	          44.86
21	Costa Rica	          44.72
22	Saint Kitts and Nevis	          43.37
23	Papua New Guinea	          43.27
24	Dominican Republic	          42.79
25	Malawi	          40.15
26	New Caledonia	          39.89
27	Grenada	          39.76
28	Brunei	          38.40
29	Togo	          36.58
30	Guatemala	          36.46
31	Panama	          36.21
32	Mongolia	          35.99
33	Benin	          35.62
34	Ireland	          35.28
35	Tonga	          34.37
36	Belize	          33.65
37	Mozambique	          33.54
38	Haiti	          33.11
39	Burma	          33.10
40	Gabon	          32.21
41	Portugal	          31.58
42	Mongolia	          31.56
43	Dominica	          31.29
44	Bermuda	          31.20
45	Argentina	          31.12
46	Macau	          31.10
47	Trinidad and Tobago	          30.87
48	Somalia	          30.84
49	Suriname	          30.79
50	Cuba	          30.51
51	Lithuania	          30.10
52	Paraguay	          30.00
53	El Salvador	          29.79
54	Barbados	          28.52
55	Kazakhstan	          28.50
56	Jamaica	          28.32
57	Liberia	          28.29
58	Poland	          28.08
59	Ukraine	          28.00
60	Albania	          28.00
61	Barbados	          27.96
62	Fiji	          27.27
63	Bahamas, The	          27.23
64	Luxembourg	          27.22
65	Switzerland	          27.19
66	Bolivia	          27.12
67	Afghanistan	          26.78
68	Kazakhstan	          26.72
69	Bermuda	          26.71
70	Lesotho	          26.30
71	Burma	          26.28
72	Hungary	          26.10
73	Czech Republic	          25.60
74	Colombia	          25.50
75	Ecuador	          25.40
76	Guyana	          25.23
77	Tonga	          25.03
78	Iraq	          24.99
79	Indonesia	          24.96
80	Cambodia	          24.83
81	Afghanistan	          24.81
82	Solomon Islands	          24.69
83	Maldives	          24.62
84	Mauritius	          24.50
85	Malta	          24.40
86	Burkina Faso	          24.31
87	Samoa	          24.13
88	Armenia	          24.02
89	Korea, North	          24.00
90	Tajikistan	          23.92
91	Vietnam	          23.80
92	Tajikistan	          23.74
93	Uzbekistan	          23.72
94	Haiti	          23.53
95	Guyana	          23.23
96	Luxembourg	          23.14
97	Solomon Islands	          23.06
98	Paraguay	          23.00
99	Jamaica	          22.98
100	Bahrain	          22.91
101	Oman	          22.90
102	Nicaragua	          22.63
103	Japan	          22.20
104	Bosnia and Herzegovina	          22.17
105	Sudan	          21.87
106	Chile	          21.77
107	Denmark	          21.07
108	Cameroon	          21.03
109	Faroe Islands	          20.76
110	Cote d'Ivoire	          20.75
111	Sri Lanka	          20.73
112	Taiwan	          20.70
113	Eritrea	          20.70
114	Congo, Republic of the	          20.64
115	Venezuela	          20.60
116	Gambia, The	          20.45
117	Uzbekistan	          20.36
118	Cyprus	          20.18
119	Lesotho	          20.10
120	Tunisia	          20.10
121	Bahamas, The	          20.08
122	Equatorial Guinea	          19.97
123	Moldova	          19.90
124	Cambodia	          19.73
125	Dominica	          19.73
126	Peru	          19.72
127	Algeria	          19.70
128	Senegal	          19.58
129	Burkina Faso	          19.48
130	France	          19.41
131	Fiji	          19.36
132	Kyrgyzstan	          19.34
133	United States	          19.30
134	Central African Republic	          19.29
135	Curacao	          19.20
136	Suriname	          19.17
137	Liberia	          19.06
138	Libya	          18.90
139	Angola	          18.71
140	Brunei	          18.70
141	Thailand	          18.70
142	Azerbaijan	          18.69
143	Luxembourg	          18.62
144	Uruguay	          18.60
145	New Zealand	          18.40
146	Congo, Democratic Republic of the	          18.22
147	Grenada	          18.11
148	Turkmenistan	          18.03
149	Australia	          17.94
150	Belgium	          17.93
151	Sweden	          17.90
152	Venezuela	          17.80
153	Chad	          17.74
154	Montenegro	          17.54
155	Angola	          17.39
156	Iraq	          17.36
157	Sint Maarten	          17.35
158	Samoa	          17.34
159	Guinea-Bissau	          17.33
160	Jordan	          17.30
161	Romania	          17.30
162	Vanuatu	          17.30
163	Equatorial Guinea	          17.28
164	South Africa	          17.21
165	Netherlands	          17.16
166	Belgium	          17.14
167	Liberia	          17.06
168	Azerbaijan	          16.98
169	Morocco	          16.95
170	Burundi	          16.87
171	Ireland	          16.87
172	Panama	          16.86
173	Georgia	          16.81
174	Korea, South	          16.80
175	Ghana	          16.80
176	Slovakia	          16.80
177	Uruguay	          16.70
178	Italy	          16.68
179	Rwanda	          16.53
